"Source Url","Url","Column 4","Column 5","Column 6","Column 7","Column 8","Column 9","Column 10","Column 11","Column 12","Column 13","Column 14","Column 15","Column 16","Column 17","Column 18","Column 19","Column 20","Column 21","Column 22","Column 23","Column 24","Column 25","Column 26","Column 27","Column 28"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2012","","טבלת הליגה 2011-12","","","","","","","","","","","","","","","","","","","","","","","",""
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2012","","","שם הקבוצה","נק","סה""כ","סה""כ","סה""כ","סה""כ","סה""כ","סה""כ","סה""כ","סה""כ","בית","בית","בית","בית","בית","בית","בית","חוץ","חוץ","חוץ","חוץ","חוץ","חוץ","חוץ"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2012","","","שם הקבוצה","נק","משחקים","משחקים","משחקים","סלים","סלים","סלים","ממוצעים","ממוצעים","משחקים","משחקים","משחקים","סלים","סלים","ממוצעים","ממוצעים","משחקים","משחקים","משחקים","סלים","סלים","ממוצעים","ממוצעים"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2012","","","שם הקבוצה","נק","מש","נצ","הפ","זכות","חובה","+/-","זכות","חובה","מש","נצ","הפ","זכות","חובה","זכות","חובה","מש''","נצ","הפ","זכות","חובה","זכות","חובה"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2012","","1","מכבי ת""א","48","25","23","2","2218","1897","+321","88.7","75.9","13","11","2","1135","976","87.3","75.1","12","12","0","1083","921","90.2","76.8"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2012","","2","גלבוע גליל","41","25","16","9","1955","1909","+46","78.2","76.4","13","10","3","1020","932","78.5","71.7","12","6","6","935","977","77.9","81.4"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2012","","3","אופיצי ראשל""צ","40","25","15","10","1986","1917","+69","79.4","76.7","13","9","4","1017","975","78.2","75","12","6","6","969","942","80.8","78.5"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2012","","4","מגדל י-ם","39","25","14","11","2043","1969","+74","81.7","78.8","12","7","5","1037","994","86.4","82.8","13","7","6","1006","975","77.4","75"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2012","","5","יונט חולון","39","25","14","11","2041","1972","+69","81.6","78.9","12","9","3","994","901","82.8","75.1","13","5","8","1047","1071","80.5","82.4"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2012","","6","מכבי אשדוד","36","24","12","12","1987","1979","+8","82.8","82.5","12","5","7","989","987","82.4","82.2","12","7","5","998","992","83.2","82.7"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2012","","7","אלדן אשקלון","35","25","10","15","1965","2107","-142","78.6","84.3","12","6","6","940","978","78.3","81.5","13","4","9","1025","1129","78.8","86.8"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2012","","8","מ.כ הבקעה","34","24","10","14","1848","1883","-35","77","78.5","12","7","5","943","905","78.6","75.4","12","3","9","905","978","75.4","81.5"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2012","","9","גרינטופס נתניה","33","24","9","15","1948","1977","-29","81.2","82.4","12","5","7","984","971","82","80.9","12","4","8","964","1006","80.3","83.8"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2012","","10","השרון הרצליה","31","24","7","17","1918","2165","-247","79.9","90.2","12","4","8","970","1096","80.8","91.3","12","3","9","948","1069","79","89.1"
"http://www.basket.co.il/StatsPage_Table.asp?cYear=2012","","11","מכבי בזן חיפה","29","24","5","19","1951","2085","-134","81.3","86.9","12","2","10","1037","1079","86.4","89.9","12","3","9","914","1006","76.2","83.8"
